,product,price_coefficient,product_desc
3218,90720,71.93209074261704,"Spices: cloves (whole fruit, cloves and stems), crushed or ground"
5236,30788,71.54041126845162,"Molluscs: stromboid conchs (Strombus spp.), whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process"
720,30289,71.52586788184409,"Fish: fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
5329,290375,69.07190332717701,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: dichloropentafluoropropanes
4647,261100,66.26457201015582,Tungsten ores and concentrates
4849,30799,65.36392720825147,"Molluscs: n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process"
3266,440420,65.11962132000984,"Wood: non-coniferous, split poles, piles, pickets, stakes, pointed but not sawn lengthwise: sticks for umbrellas, tool handles etc, roughly trimmed but not turned or bent: chipwood etc, hoopwood"
3430,151311,64.92464396476785,"Vegetable oils: coconut (copra) oil and its fractions, crude, not chemically modified"
3748,261400,64.69311064877861,Titanium ores and concentrates
5145,280130,62.23940132756721,Fluorine: bromine
4845,30234,61.35417782612728,"Fish: fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
4471,30559,60.84540911682441,"Fish: dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5"
3232,150810,60.55509214595873,"Vegetable oils: ground-nut oil and its fractions, crude, not chemically modified"
1386,200921,59.42722255880373,"Juice: grapefruit (including pomelo), of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
4453,80119,55.720204110279695,"Nuts, edible: coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)"
4888,550610,55.69216461668331,"Fibres: synthetic staple fibres, of nylon or other polyamides, carded, combed or otherwise processed for spinning"
4220,30239,50.72204174193234,"Fish: fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
2206,30819,48.59839311082003,"Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothuroidea), dried, salted or in brine, smoked, whether or not cooked before or during the smoking process"
2240,30792,47.95039361581704,"Molluscs: n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, frozen"
5265,30448,45.828132992464255,"Fish fillets: fresh or chilled, rays and skates (Rajidae)"
2226,30359,45.28087298560108,"Fish: frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4742,811252,45.265346095902416,Thallium: waste and scrap
4655,200891,43.956902223234785,"Fruit, palm hearts: prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit"
956,250830,42.668544542799744,"Clays (excluding expanded clays of heading no. 6806): fireclay, whether or not calcined"
2228,30369,42.086338895634725,"Fish: frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9"
4557,811020,41.708095282109994,Antimony: waste and scrap
4744,251010,41.32498839011344,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: unground"
3118,30510,40.99611295697737,"Fish: flours, meals and pellets, fit for human consumption"
4346,20860,40.20191600495636,"Meat and edible meat offal: of camels and other camelids (Camelidae), fresh, chilled or frozen"
3502,530390,40.04604710931543,"Jute and other textile bast fibres: processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)"
5118,10611,38.99541535747287,"Mammals: live, primates"
4866,260600,38.20914396213162,Aluminium ores and concentrates
5074,20753,37.876200455631256,"Meat and edible offal: of geese, fatty livers (foie gras), fresh or chilled"
1381,80112,36.21235828519727,"Nuts, edible: coconuts, in the inner shell (endocarp)"
3468,440721,35.51239735596896,"Wood, tropical: as specified in Subheading Note 2 to this Chapter, mahogany (Swietenia spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm"
2239,30759,34.98028045228406,"Molluscs: octopus (Octopus spp.), dried, salted, in brine, or smoked, cooked or not before or during the smoking process"
610,410621,34.5265645802815,"Tanned or crust hides and skins: of goats or kids, without wool or hair on, whether or not split, but not further prepared, in the wet state (including wet blue)"
3258,310490,33.82783013724958,"Fertilizers, mineral or chemical: potassic, n.e.c. in heading no. 3104"
5095,30246,31.824907184430057,"Fish: fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
5260,30692,31.34699225954309,"Crustaceans: lobsters (Homarus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking"
4781,710110,28.820372278379978,"Pearls: natural, whether or not worked or graded (but not strung, mounted or set), temporarily strung for the convenience of transport"
78,330129,28.764743489148138,"Oils, essential: n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes"
4808,261510,28.329436491152777,Zirconium ores and concentrates
978,71490,28.041239255206794,"Vegetable roots and tubers: arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc, sweet potatoes, yams, taro or yautia), high starch or inulin content, fresh, chilled, frozen, dried, sliced or not, or in pellet form: sago pith"
4199,30691,27.989715460499404,"Crustaceans: rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking"
1934,390530,27.5236666035494,Poly(vinyl alcohol): whether or not containing unhydrolysed acetate groups
5375,293943,26.8574070758456,Alkaloids: cathine (INN) and its salts
28,121190,26.840996170489987,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
3730,281820,26.638153234628785,Aluminium oxide: other than artificial corundum
5275,30497,26.004373683452997,"Fish meat, excluding fillets, whether or not minced: frozen, rays and skates (Rajidae)"
4553,30271,25.873440299785635,"Fish: fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
1121,170113,24.474163412570512,"Sugars: cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
5283,382541,23.856981284308013,"Residual products of the chemical or allied industries, not elsewhere specified or included: halogenated waste organic solvents"
3985,281119,22.760178113083725,Inorganic acids: other than hydrogen fluoride
1367,251120,22.50176657386894,"Barium carbonate (witherite): natural, whether or not calcined, other than barium oxide of heading no. 2816"
422,200989,22.49700834730932,"Juice: of any single fruit or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
5044,10633,22.30633284513363,"Birds: live, ostriches: emus (Dromaius novaehollandiae)"
897,10613,22.129108744643762,"Mammals: live, camels and other camelids (Camelidae)"
3565,280920,22.023795230286147,Phosphoric acid and polyphosphoric acids
4250,10632,21.758232772997857,"Birds: live, Psittaciformes"
5242,520621,21.637355606241556,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
4397,551341,21.595001126780712,"Fabrics, woven: plain weave, printed, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
4771,382510,21.3839115531286,"Residual products of the chemical or allied industries, not elsewhere specified or included: municipal waste"
586,970600,21.237343580680317,Antiques: of an age exceeding one hundred years
3334,850630,20.692295590578425,"Cells and batteries: primary, mercuric oxide"
730,80122,20.64563485937051,"Nuts, edible: brazil nuts, fresh or dried, shelled"
5332,293951,20.213736875897375,"Alkaloids: theophylline and aminophylline (theophylline-ethylenediamine) and their derivatives: salts thereof, fenetylline (INN) and its salts"
1664,620791,20.202045605208543,"Singlets and other vests, bathrobes, dressing gowns and similar articles: men's or boys', of cotton (not knitted or crocheted)"
4650,120710,19.939466127287737,"Oil seeds: palm nuts and kernels, whether or not broken"
2469,30487,19.855426240052815,"Fish fillets: frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)"
4406,230650,19.751026643566508,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra seed oils"
1420,510610,19.623400875870523,"Yarn: of carded wool, containing 85% or more by weight of wool, not put up for retail sale"
816,961700,19.367557277563073,"Vacuum flasks and other vacuum vessels, complete with cases: parts thereof other than glass inners"
252,220840,19.242654810417882,Rum and other spirits obtained by distilling fermented sugar-cane products
3822,30383,18.516160627732063,"Fish: frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99"
3389,30572,18.035897591510285,"Fish: edible offal, fish heads, tails and maws"
5352,890130,17.894392173797232,"Vessels, refrigerated: other than tankers"
869,90240,17.716736821885267,"Tea, black: (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg"
4538,551624,17.56169294379092,"Fabrics, woven: printed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with man-made filaments"
4561,240311,17.468389682237042,"Tobacco: smoking, water pipe tobacco as specified in Subheading Note 1 to this Chapter, whether or not containing tobacco substitutes in any proportion"
3247,240210,17.42626395508526,"Cigars, cheroots and cigarillos: containing tobacco including the weight of every band, wrapper or attachment thereto"
5372,292022,17.42265810029092,"Esters: phosphite esters and their salts: their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl phosphite"
3075,440349,17.411683137685735,"Wood, tropical: other than dark red meranti, light red meranti and meranti bakau, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated"
5378,281216,17.23765081616568,Sulphur dichloride
4955,521112,17.201233387764432,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, 3- or 4-thread twill, including cross twill, weighing more than 200g/m2"
4807,80261,17.00571366074725,"Nuts, edible: macadamia, fresh or dried, in shell"
2230,30459,16.961272300207856,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, of fish n.e.c. in item no. 0304.5"
4029,520515,16.807680743621027,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
4816,80262,16.41044709112186,"Nuts, edible: macadamia, fresh or dried, shelled"
4390,521021,16.388753973309452,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, bleached, plain weave, weighing 200g/m2 or less"
5373,291431,16.289243774941717,"Ketones: aromatic, (without other oxygen function), phenylacetone (phenylpropan-2-one)"
743,130190,16.240181599572196,"Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301"
5221,121140,16.148521080086205,"Poppy straw: of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
4184,100850,16.110981853098924,Cereals: quinoa (Chenopodium quinoa)
2500,71420,15.87141267032205,"Vegetable roots and tubers: sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
2774,920190,15.84260730839674,Musical instruments: harpsichords and other keyboard stringed instruments n.e.c. in heading no. 9201
3135,71410,15.76623989780577,"Vegetable roots and tubers: manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
2242,160414,15.52511797414236,"Fish preparations: tunas, skipjack and Atlantic bonito (sarda spp.), prepared or preserved, whole or in pieces (but not minced)"
3437,230500,15.482512601783817,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil"
3216,80131,15.446396464946652,"Nuts, edible: cashew nuts, fresh or dried, in shell"
2329,551412,15.42339435583263,"Fabrics, woven: 3- or 4-thread twill, including cross twill, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, over 170g/m2"
3149,282751,15.375280882881635,Bromides: of sodium or of potassium
5290,20752,15.331092784421257,"Meat and edible offal: of geese, not cut in pieces, frozen"
5343,290392,15.155241366735847,"Halogenated derivatives of aromatic hydrocarbons: hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), and 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)"
2890,30549,14.997537956776648,"Fish: smoked, whether or not cooked before or during smoking, n.e.c. in item no. 0305.4, includes fillets, but excludes edible fish offal"
4185,30431,14.890944055088841,"Fish fillets: fresh or chilled, tilapias (Oreochromis spp.)"
2227,30366,14.846220648391595,"Fish: frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4761,30811,14.60064185335723,"Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothuroidea), live, fresh or chilled"
3652,121221,14.467701915635772,"Seaweeds and other algae: fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
2711,30199,14.282401822101,"Fish: live, n.e.c. in heading 0301"
2064,30259,14.270045021898229,"Fish: fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
5355,292023,13.83319293422595,"Esters: phosphite esters and their salts: their halogenated, sulphonated, nitrated or nitrosated derivatives, trimethyl phosphite"
1229,720990,13.79103076890869,"Iron or non-alloy steel: flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209"
3767,90190,13.789762504470888,"Coffee: husks and skins, coffee substitutes containing coffee in any proportion"
5105,30455,13.72090379642866,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, toothfish (Dissostichus spp.)"
3394,30333,13.708402812873084,"Fish: frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4509,521223,13.513729683909485,"Fabrics, woven: of cotton, dyed, weighing more than 200g/m2, n.e.c. in chapter 52"
2825,200911,13.465618462048853,"Juice: orange, frozen, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
4389,520912,13.438943939794022,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
1046,200929,13.377910712963878,"Juice: grapefruit (including pomelo), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
4547,530810,13.333407989027414,Yarn: of coir
3076,520291,13.225718619701206,Cotton: garnetted stock waste
5133,270500,13.223715753548959,"Gases: coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)"
4454,90832,13.160701429854802,"Spices: cardamoms, crushed or ground"
4536,521212,13.001406316763735,"Fabrics, woven: of cotton, bleached, weighing not more than 200g/m2, n.e.c. in chapter 52"
263,170390,12.986375194798027,"Sugars: molasses, from sugar beet, resulting from the extraction or refining of sugar"
3111,100620,12.965695738813597,Cereals: husked (brown) rice
2941,170310,12.962926243187322,"Sugars: molasses, from sugar cane, resulting from the extraction or refining of sugar"
3205,20754,12.956315590314153,"Meat and edible offal: of geese, cuts and offal, excluding fatty livers, fresh or chilled"
4276,281830,12.930886063601479,Aluminium hydroxide
38,570210,12.891952846213957,"Carpets and other textile floor coverings: woven, (not tufted or flocked), whether or not made up, including kelem, schumacks, karamanie and similar hand-woven rugs"
4535,470693,12.831473297990698,"Pulp: of fibrous cellulosic material, other than of bamboo or fibres derived from recovered (waste and scrap) paper or paperboard or from cotton linters pulp, obtained by a combination of mechanical and chemical processes"
2922,261590,12.734388505240041,"Niobium, tantalum, vanadium ores and concentrates"
620,510220,12.556204275303093,"Hair: coarse animal hair, not carded or combed"
463,610690,12.266609986816302,"Blouses, shirts and shirt-blouses: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
2786,251020,12.239928920498313,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: ground"
2874,310390,12.076438644322662,"Fertilizers, mineral or chemical: phosphatic, n.e.c. in heading no. 3103"
239,90961,12.064640643634586,"Spices: seeds of anise, badian, caraway or fennel: juniper berries, neither crushed nor ground"
24,80420,12.04763071623403,"Fruit, edible: figs, fresh or dried"
3777,520813,12.004050963442811,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
2712,30812,11.912937385502918,"Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothuroidea), frozen"
5336,100840,11.849204985132825,Cereals: fonio (Digitaria spp.)
3219,90831,11.774158025574524,"Spices: cardamoms, neither crushed nor ground"
4988,720250,11.609627138338544,Ferro-alloys: ferro-silico-chromium
2494,30384,11.53991852519268,"Fish: frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4128,400220,11.526005824712648,"Rubber: synthetic, butadiene rubber (BR), in primary forms or in plates, sheets or strip"
5185,551411,11.309488201840631,"Fabrics, woven: plain weave, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
4592,160561,11.187168637865573,"Aquatic invertebrates: sea cucumbers, prepared or preserved"
4846,30349,11.179798109791452,"Fish: frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
1439,70890,11.07392487760919,"Vegetables, leguminous: (other than peas and beans), shelled or unshelled, fresh or chilled"
3083,920510,11.05315325430132,"Musical instruments: brass-wind (e.g. trumpets), other than fairground organs and mechanical street organs"
4546,521222,10.978288689431734,"Fabrics, woven: of cotton, bleached, weighing more than 200g/m2, n.e.c. in chapter 52"
5022,530290,10.973103005424198,"Hemp (cannabis sativa L.): processed (other than retted) (but not spun), true hemp tow and waste (including yarn waste and garnetted stock)"
2640,30281,10.91119008247991,"Fish: fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
4215,410320,10.898092098801618,"Hides and skins: raw, of reptiles (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split"
4994,293214,10.83333816893715,"Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, sucralose"
5358,293341,10.673187290745451,"Heterocyclic compounds: containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, levorphanol (INN) and its salts"
3601,520532,10.586510410018247,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
5296,281214,10.5227704970686,Phosphorus pentachloride
3241,200830,10.313009966464831,"Fruit: citrus, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
3872,282410,10.180149076765385,"Lead: lead monoxide (litharge, massicot)"
3056,30319,10.165849354543415,"Fish: frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
1051,252230,10.14526541010496,Hydraulic lime: excluding calcium oxide and hydroxide of heading no. 2825
2788,490600,10.139626532395924,"Plans and drawings: for architectural, engineering, industrial, commercial, topographical or similar, being originals drawn by hand: hand-written texts: photo- graphic reproductions: their carbon copies"
75,170112,10.091072888859408,"Sugars: beet sugar, raw, in solid form, not containing added flavouring or colouring matter"
1651,230120,9.902555810543637,"Flours, meals and pellets: of fish or of crustaceans, molluscs or other aquatic invertebrates"
3879,283421,9.76590660019026,Nitrates: of potassium
76,170114,9.742469351860889,"Sugars: cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
3103,920890,9.704362578089736,"Fairground and mechanical street organs, mechanical singing birds, musical saws and musical instruments n.e.c. in chapter 92: decoy calls of all kinds: whistles: call horns and other mouth-blown sound signalling instruments"
9,91020,9.68981513396546,Spices: saffron
304,621120,9.643082374751295,Ski suits: (not knitted or crocheted)
5286,510400,9.567123460485282,Wool and hair: garnetted stock of wool or of fine or coarse animal hair
3210,40719,9.378435807410568,"Birds' eggs, in shell: fresh, fertilised eggs for incubation, other than fowls of the species Gallus domesticus (domestic hens)"
2094,440112,9.028024985113396,"Wood: for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, non-coniferous"
3268,441850,9.00992245331194,Wood: shingles and shakes
5300,20850,8.97613998800468,"Meat and edible meat offal: of reptiles (including snakes and turtles), fresh, chilled or frozen"
5246,410631,8.859300669698685,"Tanned or crust hides and skins: of swine, without hair on, whether or not split, but not further prepared, in the wet state (including wet blue)"
5193,293134,8.755578565721127,"Organo-inorganic compounds: organo-phosphorus derivatives, sodium-3-(hydroxysilyl)propyl methylphosphonate"
3352,30353,8.742484411710288,"Fish: frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4388,520641,8.688375469957277,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
3862,30779,8.562003956118815,"Molluscs: clams, cockle, ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae, Veneridae), whether in shell or not, dried, salted, in brine, smoked"
1647,150420,8.549833551288579,"Fats and oils and their fractions: of fish, (excluding liver-oils)"
2312,520921,8.514936560028259,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 200g/m2"
1818,30743,8.502379116142917,"Molluscs: cuttle fish and squid, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, frozen"
2290,440111,8.468711524672196,"Wood: for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, coniferous"
4545,551441,8.421365622764434,"Fabrics, woven: plain weave, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
4826,282759,8.397356386151493,Bromides and bromide oxides: other than item no. 2827.51
4523,520922,8.366953284826804,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
